Quartz,K-feldspar,Plagioclase,Dolomite,Magnesite,Halloysite,Dickite,Chlorite,Serpentine,Olivine,Titanite,Epidote,Ilmenite,Tourmaline,Spinel,Kerogen,Pyroxene,Boehmite,Hematite,Chalcopyrite,Natrite,Nahcolite,Organic matter,Illite,Anhydrite,Muscovite,Opal,Mica (Tri),Alunite,Calcite,Aragonite,Amphibole,Kaolinite,Ferrihydrite,Vermiculite,Smectite (Di),Tephra,Carbon (%),Horz_Position,Water stable aggregate (0.25mm)
37.5435,9.2736,9.7701,0.3667,0.1752,3.2236,0.132,0.1164,2.2743,0.1185,0.8694,0.7077,0.7838,2.5091,0.2516,3.0542,2.834,0.0857,0.3728,0.3242,0.7025,0.7364,19.5873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0634887,1,0.953010547
33.632,8.2744,4.464,2.1842,0.23,1.348,0,0.1794,1.6915,0.2373,0.9143,0.3366,0.7876,3.0579,0.5314,0.3051,0.6226,0.2836,0.664,0.3028,0.7118,0.9005,23.6303,10.178,0.2919,0,0,0,0,0,0,0,0,0,0,0,0,8.8576774,1,0.89407633
33.1654,1.6453,0.7599,2.9867,0.4318,2.1514,0.2138,0,1.8225,0.8006,0.4251,0.5966,0.7888,1.9049,0.8725,4.5271,0.4692,0.0967,1.6493,0.2175,0.9155,0.805,19.1206,12.1102,0.0402,7.1967,0.0277,0,0,0,0,0,0,0,0,0,0,11.8313891,1,0.985495513
15.849,1.3603,0.6239,45.3949,0.7299,0.741,0.2035,0,0.9527,0.9731,0.3784,0,0,0.6062,0,0,0.1935,1.1658,0.4264,0.3694,2.0317,0.6156,13.5667,2.3267,0,3.9634,0,5.5084,0.0437,0,0,0,0,0,0,0,0,8.6288243,2,0.959543347
30.7976,5.2039,10.2477,0.5253,0.7496,0.4236,0.6067,0.3891,0.3769,1.0624,1.067,0.0776,0,1.2293,0,0,2.3081,0.1559,0.187,1.2754,1.42,0.2611,17.6709,0,0,0,0,0,0,12.0787,9.0898,0,0,0,0,0,0,7.1526477,1,0.82433091
26.9439,4.6681,11.5542,0.5728,0.6548,0,0.6496,0.7475,0,1.3727,1.3741,0,0,0,0,0,3.2202,0,0,2.0362,1.8525,0,15.7036,0,0,0,0,0,0.2651,11.5756,13.2126,0,0,0,0,0,0,4.596777,2,0.93025231
26.4789,0.8998,28.4511,0.4139,0.6298,0.3982,0.2002,0.1051,0,0.2126,0,0.1287,0,0,0,0,0,0.967,0,0.9722,0.8113,0.5769,16.0551,0,0,0,0,0,0,14.3381,5.3193,1.3643,0,0,0,0,0,4.8756505,1,0.961428567
25.8403,1.8917,26.7037,0.3427,0.6953,0.6015,0.1328,0,0.1128,0.5108,0,0,0,0.158,0,0,0,1.1166,0,1.3526,0.8801,0.6345,15.4085,0,0,0,0,0,0,15.8354,5.068,1.2109,0,0,0,0,0,3.3170145,2,0.924794617
5.9215,0.8059,6.4493,0.6065,1.2374,12.1408,0,0,38.5418,0,0.1829,0,0,0,0,0,1.0785,0,0.2761,0.5459,0,1.8973,22.7943,0,0,0,0,0,0,0,0,1.417,0,0,0,0,0,1.4505172,1,0.763145677
12.7267,4.3032,9.7849,0.5136,0.6473,12.0584,0,1.0341,28.9395,0,0.846,0.3308,0.566,1.0857,0,5.1838,0.7572,0,0.1086,0.4573,0.297,1.4718,0,0,0.0452,0,0,0,0,0,0,2.2198,0,0,0,0,0,0.8837363,2,0.357191107
15.441,11.882,0.9877,4.3246,0.1716,0.7566,0.2232,2.7024,0,0.0092,0.8144,0.3174,0.3299,1.7091,0.175,0,0.2868,0.4487,0.264,0.0787,0.7142,0.3324,30.51,10.7565,0.236,0,0,3.6431,0,0.0095,0,0,0,6.6571,0,0,0,12.9763568,1,0.99600075
14.791,7.3827,1.6076,35.226,0.7228,0.9751,0.4434,0.1164,1.9209,0.5707,0.715,0,0,1.8558,0.2419,0,0,1.0601,0.2577,0.3643,2.0649,0.9177,16.4079,2.9418,0,3.7292,0,2.8527,0,0,0,0,0,0,0,0,0,7.6375287,2,0.949545123
18.5472,3.5024,2.5026,0.7744,0.3282,2.033,0.963,1.2223,0.8648,0.8765,0.9958,0.5391,0.3193,3.5718,0.7664,0,0.1131,0.6974,1.9023,0.087,0.8609,0.6516,21.1004,26.7951,0.2682,2.5178,0,3.0246,0,0,0,0,0,0,0,0,0,5.7242696,1,0.998348477
4.1477,1.2177,1.1041,60.0438,0.683,1.2776,0.3765,0,1.251,0.7067,0.3209,0,0,0.3856,0,0,0,1.4274,0.2529,0.3612,2.2759,0.7288,12.7224,3.5923,0,1.7577,0.5963,1.8069,0.0841,0,0,0,0,0,0,0,0,9.7620826,2,0.95710393
27.6588,4.9375,14.2347,0.2349,0.7012,4.6587,0,0.6382,4.3066,0.9549,0.9546,0.9425,1.8169,3.3098,0.6312,0,2.889,0.4678,0.0207,0.4477,1.6176,0.7914,20.462,0,0.0969,0,0,0,0,0,0,1.9011,1.0288,0,0,0,0,3.4922567,2,0.972623187
23.5073,5.9483,7.6374,0.1239,0.2745,3.7302,1.1525,1.769,2.2869,0,0.8928,0.2683,0.1063,1.5223,0,4.3124,0,0.6382,0.0605,0.2883,0.3751,0.5951,0,7.8416,0.1207,10.0435,1.5796,0,0,0,0,0,0.9747,7.0717,3.7602,3.1019,0,1.9430609,1,0.5010459
20.8172,6.7408,7.5826,0.1271,0.4186,3.8875,1.2217,2.1904,1.9051,0,0.6415,0,0,1.1083,0.1116,4.5875,0,0.4012,0,0.2322,0.163,0.8011,0,8.8481,0.0365,10.3707,2.2678,3.1121,0.1267,0,0,0,1.1339,9.2309,3.7225,4.1195,0,0.5097052,2,0.56497449
24.9035,7.0353,15.2663,0.2342,0.2926,4.8521,0.24,0.8237,1.0855,0.0778,0.8467,0.2511,3.2325,2.2058,0,0.9254,1.6482,0.5091,0,0.2177,0.5371,0.3882,16.7579,4.1442,0.362,0,0,0,0,0,0,1.5149,0,5.1255,1.5515,0,2.198,3.1321382,1,0.907124017
22.3749,7.7252,15.8443,0.3032,0.4594,3.7535,0.4054,1.743,0.4345,0.1865,0.6349,0.2046,3.329,2.2769,0,0,1.9549,0.6366,0,0.2383,0.6807,0.3463,17.8242,2.3988,0.2998,0,0,3.4345,0,0,0,1.6477,0,5.1841,1.777,0,1.8194,2.3897213,2,0.881637223
9.3496,1.3746,6.4077,0.1852,0.0813,0.6816,0.4207,2.6623,0.2051,0,0.3557,0.0645,0.0858,0.6249,0,13.6253,0.2168,0.1388,0,0,0.1613,0.4186,18.7264,5.271,0.3174,3.2841,0,0.7326,0.0075,0.061,0,0,0,2.3317,1.7647,6.511,0,16.3674547,1,0.959924843
20.8179,3.3416,7.0201,0.1576,0.242,3.5165,1.3108,3.2395,2.0633,0,0.7572,0.0988,0,1.6848,0,2.8064,0.1654,0.9665,0,0.1593,0.3276,0.757,0,8.3351,0.2101,11.3253,0,1.3714,0,0,0,0,3.7588,5.1087,3.0757,4.3342,0,1.1567451,2,0.667010263
19.2492,9.5057,17.2529,0,0.22,4.0831,0.4172,1.5034,0.1878,0,0.4624,0.6999,0.6704,1.072,0,13.1756,0.3132,0,0.0389,0.2326,0,0.927,0,0,0.4821,0,0,0,0,0.0538,0,0,0,4.2625,2.9538,0,0,3.1565041,1,0.969885957
27.6946,2.9462,11.1319,0.2992,0.1739,1.5139,1.0132,3.2697,0,0.2022,0.4389,0.296,0.3418,0.9077,0,5.7954,0.594,0.1011,1.7548,0.1139,0,0.7666,18.769,5.9815,0.3791,0,0,3.5157,0.0411,0.1272,0,0,0,4.4893,0.626,3.8422,0,10.9343631,2,0.930946107
18.8253,16.4027,11.35,0.2159,0,0.8752,0.094,3.9263,0.3368,0,0.8292,0.1399,0,0.8211,0,9.032,0.0966,0.5495,0,0.1341,0,0.5209,16.409,1.8784,0.277,4.3841,0,1.487,0,0,0,0,0,6.3298,1.679,0,0,9.752366,1,0.888653973
24.3825,10.1166,10.1745,0.1885,0.1974,2.646,0.7519,2.5809,1.5731,0.2259,1.0088,0.5247,0.0811,1.2259,0,10.3999,0,0.8586,1.1777,0.2889,0.3653,0.7601,10.8347,1.9877,0.2195,0,0,0,0,0,0,0,0,4.1877,3.9937,0,4.6131,0.2608195,2,0.860745067
9.8703,9.5871,5.3376,0,0.0075,3.1657,0.0381,0,0.2556,0,0.1066,0,0,0.5071,0,13.8838,0.2001,1.0079,0,0.121,0.3874,0.2596,0,5.607,0.0839,0,0,0,0,0,0,0,0,8.5487,3.5992,7.1947,0,6.1835803,1,0.88645198
10.0175,12.2095,1.9084,0.2883,0,3.9768,0.6482,0.3946,0,0,0,0,0,0,0,15.4185,0,1.0012,0,0.1764,0.8962,0.2331,0,17.5369,0,0,0,0,0,0,0,0,0,8.3983,3.7262,0,0,1.1201347,2,0.893168677
21.3094,4.2163,8.6308,0.1529,0.2784,2.0902,0,2.6539,0.7327,0,0.5814,0.248,0.1089,1.6716,0,21.793,0,0.3217,0.0607,0.1797,0.5368,0.5315,15.3477,1.2917,0.3577,0,0,0,0,0.0511,0,0,0,5.2544,4.7456,0.573,1.6203,13.6243057,1,0.953550143
6.674,0.4741,0.7382,0.0601,0.0834,1.1823,0.3462,0.3168,0.1833,0,0,0,0.1527,0.5285,0,25.437,0.0177,0.2769,0,0.0271,0.4055,0.2461,8.1267,0.2376,0,0,2.059,0,0.1127,0.0232,0,0.2668,0.6632,2.8807,0,0,0,40.1155474,1,0.92592635
27.316,2.873,7.1312,0.3246,0.4235,2.8746,0.7434,2.8705,1.9602,0.0285,0.5812,0,0.0649,1.9502,0,2.0114,0,1.0334,0.6255,0.1858,0.173,0.7213,18.68,5.8845,0.2575,8.4403,0,2.2085,0.0823,0,0,0,0,4.7183,2.8317,0,0,3.1413808,2,0.87560907
22.8997,2.6956,7.9908,0.2239,0.1775,1.484,0.2341,2.8552,1.7508,0.2503,0.4334,0.109,0.2092,1.8864,0,14.7742,0.0473,0,0.0044,0.163,0.109,0.5841,20.3963,7.1763,0.4967,0,0,1.3344,0.0516,0,0,0,0,6.4866,1.7821,0,0,10.5744836,2,0.96355027
29.6828,5.8076,13.2176,0.4219,0.1299,2.1135,0.1551,6.0271,2.5286,0.3578,1.3399,0.7304,0.4759,2.8309,0,6.8385,0,0.4995,0.0887,0.3761,0.4374,1.0973,14.2944,0,0.0922,5.3745,0,0.6595,0,0,0,0,0,0,0,0,0,6.2538862,1,0.96374677
31.6105,7.216,13.7401,0.4954,0.216,2.03,0.2899,6.2936,2.788,0.313,0.9046,0.3874,0.4562,2.2772,0,7.1586,0,0.524,0.0699,0.4069,0.5235,1.0931,10.7269,0,0,6.1707,0,0,0,0,0,0,0,0,0,0,0,2.7847268,2,0.985033827
30.2969,4.658,8.7096,0.272,0.2922,2.2346,0.1329,4.5938,1.6047,0.0367,0.9221,0.2185,0.0465,3.0797,0,0,0,0.8374,0,0.3412,0.2213,0.7234,20.9293,5.0036,0.2569,3.8367,0,0.276,0,0,0,0,0,4.7697,2.1001,0,0,3.0024898,2,0.94302859
29.9388,3.9169,3.2198,0.3886,0.973,4.5935,1.0069,1.5075,3.8413,1.1921,0.5966,0.3249,0,2.976,1.1224,0,0,2.0267,0.3778,0.436,1.8073,1.0977,21.6617,0,0,0,0,9.8887,0.029,0,0,0,3.6169,0,0,0,0,0.8975292,2,0.83204408
25.3496,4.9885,10.2613,0.1632,0.3314,4.5838,0.561,1.8794,1.8353,0.311,0.5111,0,0.1709,1.9993,0,3.236,0,1.1441,0.6706,0.2431,0.0809,0.6701,20.428,2.0549,0.232,0,0,3.3223,0.0295,0,0,0,0,3.4381,3.9803,0,4.3752,3.9626963,1,0.966305647
28.0402,4.6641,13.114,0.2911,0.2889,3.2664,0.3439,4.7519,2.2743,0.264,0.8172,0.0594,0.2392,2.6623,0,1.846,0.4873,1.1232,0.652,0.1805,0.4004,0.8196,18.2179,3.1519,0.2574,0,0,2.4375,0.031,0,0,0,0,2.1036,2.9227,0,1.1756,0.4163261,2,0.562170213
3.4076,1.4412,7.5674,0,0.2834,3.8959,0.0749,0.0561,3.4693,0.198,0.7029,0,0.7342,0.1765,0,11.4898,5.6507,0.7725,1.1609,0.1572,0,0.3138,8.0757,0,0.0984,0,1.459,0,0,0.1533,0.0145,0.2309,0,11.5573,8.7965,0,8.6184,10.3140048,1,0.78123612
3.2276,2.0084,6.7179,0,0.4164,5.5545,0,0.5468,4.7596,0.6353,0.9425,0,0.2029,0.4244,0,0,6.3833,1.3861,1.5657,0.133,0.7541,0.7317,28.426,0,0.2166,0,2.0522,0,0,0,0,0.4272,0,4.6344,8.4058,0,15.2044,5.8866459,2,0.984568453
26.735,1.8207,6.4656,0.2943,0.2338,2.4341,0.3357,3.2835,0.7684,0.1117,0.6095,0.058,0.1997,2.0991,0.0868,1.2406,0,0.4953,0.0469,0.2277,0.2785,0.7128,22.1128,7.7958,0.2874,5.0172,0,3.7531,0,0,0,0,0,8.293,1.1015,0,0,4.8784168,1,0.968975193
25.8419,2.1478,7.6137,0.4028,0.1081,2.4345,0.1275,6.6055,1.3669,0.1847,0.5167,0.2109,0.3161,1.8757,0,4.6587,0.0344,0.3426,0.3112,0.2483,0.4183,0.8534,18.6199,5.8525,0,10.0535,0,0,0,0,0,0,0,5.581,0,0,0,6.5902884,1,0.94858244
29.566,6.0473,5.3778,0.3108,0.3283,4.1671,1.1035,1.2095,0.5434,0.2883,0.548,0,0.2649,2.7542,0,3.6069,0.0463,0.9077,1.7073,0.2749,0,0.6502,20.2223,0.4037,0.3189,0,0,4.0579,0,0,0,0,2.3847,5.3163,1.0911,0,3.2816,5.3703019,1,0.91530706
16.7858,1.7299,10.0385,0.1929,0.2884,2.1512,0,1.2121,0.9738,0.0543,0.6787,0.3378,0.3269,1.2373,0,15.0937,0.4755,0.9527,0,0.223,0.4191,0.6993,23.5209,0,0.3131,3.5284,0,0,0,0,0,4.179,0,8.1713,0.9696,0,0.9296,15.1811242,1,0.96396702
20.1742,3.1798,11.2679,0.3523,0.2641,2.933,0.0236,1.8002,0.8912,0.0648,1.153,0.6703,0.3867,2.1559,0,5.6662,0.2499,0.9043,0,0.1831,0.3796,0.6709,19.927,0,0,4.6678,0,0.6747,0,0.0417,0,5.1585,0,9.6336,1.2463,0,1.9673,8.3633989,2,1.03181171
31.6403,1.8675,11.5062,0.305,0.6665,2.3018,1.3472,2.9354,1.3413,0.5119,0.6836,1.3078,0,0.8707,0.5267,0,0.1759,1.3847,0.516,0.4004,1.2764,1.3966,23.2625,0,0,10.5746,0,0,0.1229,0,0,0,0,0,0,0,0,3.117999,1,0.829050297
32.7413,1.8375,11.7019,0.4072,0.6094,1.5372,1.2973,2.4088,2.4298,0.3154,0.6584,1.2812,0.3266,1.1301,0.6533,0.9522,0.1252,1.3455,0.6189,0.2938,0.8924,1.2688,18.8798,0,0,11.6423,0,0.9683,0.1074,0,0,0,0.294,0,0,0,0,1.1153199,2,0.956332427
27.4941,8.6301,9.3146,0.0864,0.0883,3.2145,0,2.373,1.9806,0,1.0241,0.1925,0.2555,2.3458,0,3.8239,0.5191,0.9307,0.0531,0.1797,0.029,0.5797,17.395,0,0.457,0,0,0.7891,0,0,0,0,0,4.3098,2.4704,0,8.4522,2.4333054,2,0.854286097
11.8258,6.7073,10.5705,0.1446,0.3657,3.6995,0.4022,1.6053,1.5476,0.4359,0.7187,0.0669,0.4374,1.2356,0,21.7646,0.6901,1.3727,2.4,0.0279,0.9473,0.7402,0,0,0.4528,0,0.246,2.9946,0,0.1887,0,0,0,5.748,3.8834,1.1199,4.0177,9.3031606,1,0.97457853
