Quartz,K-feldspar,Plagioclase,Dolomite,Magnesite,Halloysite,Dickite,Chlorite,Serpentine,Olivine,Titanite,Epidote,Ilmenite,Tourmaline,Spinel,Kerogen,Pyroxene,Boehmite,Hematite,Chalcopyrite,Natrite,Nahcolite,Organic matter,Illite,Anhydrite,Muscovite,Opal,Mica (Tri),Alunite,Calcite,Aragonite,Amphibole,Kaolinite,Ferrihydrite,Vermiculite,Smectite (Di),Tephra,Carbon (%),Horz_Position,Water stable aggregate (0.25mm)
14.7881,8.1372,12.3206,0.0261,0.505,4.289,0.184,1.1422,3.3382,0.3537,0.8697,0,0.1777,1.1014,0,7.2179,0.7337,1.1652,2.9352,0.1764,0.3358,0.7309,9.3795,0,0.3679,0,0.5914,2.6745,0,0,0,0,0,6.0809,4.2082,0,8.0718,3.4206768,2,0.98090481
14.7881,8.1372,12.3206,0.0261,0.505,4.289,0.184,1.1422,3.3382,0.3537,0.8697,0,0.1777,1.1014,0,7.2179,0.7337,1.1652,2.9352,0.1764,0.3358,0.7309,9.3795,0,0.3679,0,0.5914,2.6745,0,0,0,0,0,6.0809,4.2082,0,8.0718,3.5306869,1,0.734961863
34.9386,14.05,15.0534,0.3119,0.4098,2.1719,0.4042,2.4359,0.8614,0.5124,1.372,0.2311,0,2.1507,0.0546,0,0.1595,0.5213,0,0.2216,0.9186,0.8284,12.3073,3.5751,0.3309,0,0,3.6749,0,0,0,0,0,0,0,0,0,2.2405073,1,0.967441903
31.6623,16.7203,15.513,0.2731,0.3808,1.7569,0.3954,1.5946,2.3367,0.5579,1.3416,0.0678,0,0.8062,0.2749,0,0,0.7655,0,0.448,1.1749,1.2603,10.7993,1.4444,0.0114,4.819,0,2.944,0,0,0,0,0,0,0,0,0,0.4574084,2,0.699352263
33.4522,8.4325,20.6017,0.2056,0.7293,2.1991,0.2129,0,0.4105,0.7565,0.7756,0.6589,0,0.4868,0,0,0,0.7877,0.644,0.5649,1.711,1.4547,19.1593,0,0.1311,0,0,0,0,0,0,5.3081,0,0,0,0,0,6.8040335,1,0.916559173
34.2758,9.1956,20.9388,0.2736,0.9076,2.147,0.1297,0,0.711,0.9922,0.461,0.4647,0,0.0142,0,0,0,1.0902,0.5411,0.6991,2.1497,1.6889,16.575,0,0.0281,0,0,0,0,0,0,4.8962,0,0,0,0,0,4.4468502,2,0.839416507
18.0099,9.9615,34.2966,0,0.2755,0.6941,0,1.347,0,0,0.7618,0,0.5257,0,0.134,0,5.7545,1.1145,0,0,1.1428,0.8267,17.0061,0,0,0,0,0,0.2365,0,0,3.8386,0,0,1.2879,0,0,4.9247101,2,0.991569123
26.6955,12.7308,17.5283,0.2843,0.0664,1.2625,0.2989,3.2179,0.9456,0.1214,0.9765,0.159,0.0322,1.3512,0,0,0,0.2663,0.0473,0.2078,0.1437,0.6158,19.8587,3.6467,0.1983,3.8139,0,0.998,0.0199,0,0,0,0,0,1.583,0,0,6.9391729,1,0.982357313
5.0798,1.9628,3.5646,0.1434,0.1224,0,0,0.0457,0,0,0.1721,0,0,0.028,0,42.965,0,0,0,0,0.1815,0.1738,2.223,0.3121,0.0826,0,1.8047,0.3969,0,0.0177,0,0,0,0.3225,0,2.7888,0,41.5494674,2,0.99587282
29.5374,2.4581,16.3981,0.17,0.1055,0,0.0115,0.4947,1.1579,0,1.0619,2.2128,0.3664,0,0,0,0,0.2716,0.1645,0.1574,0,0.8618,25.9038,0,0.0954,15.2048,0,1.2765,0.0702,0,0,0,0,0,0,0,0,10.8184054,1,0.970049963
24.8888,4.0868,19.1959,0,0.6054,0.5743,0.0389,3.378,1.0729,0.5991,1.0913,2.5345,0,0,1.6058,0,0,0.4819,0.3623,0.4013,2.0839,1.6028,13.1884,0.11,0,15.6316,1.4643,2.8441,0,0,0,0,0,0,0,0,0,1.3809776,2,0.93370817
