Quartz,K-feldspar,Plagioclase,Dolomite,Magnesite,Halloysite,Dickite,Chlorite,Serpentine,Olivine,Titanite,Epidote,Ilmenite,Tourmaline,Spinel,Kerogen,Pyroxene,Boehmite,Hematite,Chalcopyrite,Natrite,Nahcolite,Organic matter,Illite,Anhydrite,Muscovite,Opal,Mica (Tri),Alunite,Calcite,Aragonite,Amphibole,Kaolinite,Ferrihydrite,Vermiculite,Smectite (Di),Tephra,Carbon (%),Horz_Position,Water stable aggregate (0.25mm)
45.3444,8.3415,3.2536,0.4385,0.2312,2.6147,1.3968,1.8745,1.1506,0.3649,1.7673,0.7353,0.5494,3.586,0,7.8016,0.4923,0,0.5327,0.2781,0.4011,1.0073,0,4.8098,0.6231,0,0,7.4634,0,0,0,0,1.0833,0,0,0,0,1.3463622,1,0.356962993
47.8311,8.9587,3.5516,0.2782,0.1579,2.9015,1.442,1.2395,1.2721,0.2665,2.0665,0.8942,0.5509,4,0,5.9901,0.7389,0,0.5763,0.2805,0.5458,0.8947,0,7.47,0.7796,0,0,2.0247,0,0.1047,0,0,1.3205,0,0,0,0,0.100581,2,0.7116651
27.9592,3.1742,10.7641,0.3777,0.467,4.0045,0.3116,5.1526,2.2145,0.2721,0.7452,0.1063,0.9259,0.2499,0,9.0346,0.0903,0.6666,0.0922,0.2752,0.284,1.0989,0,0,0.136,16.9515,1.606,2.1131,0.1589,0,0,0,0,5.7254,2.2515,0,0,3.5967379,1,0.90445318
28.9413,3.3408,10.4289,0.2776,0.3176,5.1596,0.749,6.2277,1.609,0.0846,1.0233,0.4148,0.9015,0.4168,0,7.6355,0.1953,0.5552,0.0012,0.2603,0.4048,0.9789,0,0,0.1539,16.2683,0.8212,1.5964,0.0822,0,0,0,0,5.4388,2.3235,0,0,1.5896686,2,0.815813887
37.3361,7.1867,11.39,0.445,0.328,3.8805,0.9607,1.1477,1.2988,0.0898,1.2709,0.5604,1.25,3.2544,0,10.4852,0.9683,0.0433,0.0781,0.3218,0.9443,1.0364,0,2.0658,0.576,0,0,5.6116,0,0,0,0,0,3.9661,0,0,0,4.1631405,1,0.91017684
34.6618,6.4933,16.0079,0.3516,0.3312,3.1987,0.349,3.2846,1.7502,0.5933,1.0636,0.5949,0.5694,2.5167,0,8.7593,0.7252,0,1.1018,0.3307,0.5552,1.0175,0,7.781,0.5639,0,0,0,0,0,0,0,0,1.7932,2.2353,0,0,2.2845884,1,0.875455947
33.4532,6.3939,17.5984,0.4111,0.1707,2.4674,0.2971,4.0947,2.5621,0.5784,1.4258,0.5118,0.4743,2.4812,0.0784,7.4489,0.429,0.0351,1.253,0.2886,0.5253,1.2262,0,7.5553,0.6103,0,0,4.4447,0,0,0,0,0,0,0,0,0,0.265062,2,0.437212407
33.4532,6.3939,17.5984,0.4111,0.1707,2.4674,0.2971,4.0947,2.5621,0.5784,1.4258,0.5118,0.4743,2.4812,0.0784,7.4489,0.429,0.0351,1.253,0.2886,0.5253,1.2262,0,7.5553,0.6103,0,0,4.4447,0,0,0,0,0,0,0,0,0,1.23,1,0.73585558
27.5063,3.6121,14.8597,0.4005,0.1457,2.7441,0.6518,2.6015,0,0.1493,0.82,1.216,0.4666,2.2376,0,5.8969,0,0.9262,0.4865,0.2306,0.9547,0.8356,0,0,0,10.2393,0,3.3309,0.2354,0,0,2.5671,0,5.2284,8.1268,0,0,0.7609285,2,0.705559823
42.3471,8.129,10.0443,0.3441,0.2815,3.2823,0.5811,2.101,0,0.5676,1.2212,0.6547,0.356,3.0938,0,7.2583,0.5002,0,1.2391,0.3691,0.2413,0.8106,0,7.0753,0.4794,0,0,0,0,0,0,0,0,2.4866,2.9433,0,0,1.591518,1,0.739750183
39.5397,8.146,10.395,0.3442,0.2886,2.301,0.5029,2.2266,1.156,0.695,1.3867,0.745,0.2321,2.8959,0,6.6796,0.3231,0,1.2858,0.2934,0.6193,0.8959,0,6.4919,0.5478,0,0,5.4474,0,0,0,0,0,1.0194,2.4374,0,0,0.4548549,2,0.53115801
25.4437,18.327,26.0047,0.2827,0.138,3.4502,0.356,1.2059,0.1806,0.1068,0.8344,0.3386,0.5615,0.6014,0,10.2198,0.254,0.5102,0.2047,0.3183,0,0.8518,0,0,0.2683,0,0,2.6146,0.0897,0,0,0,0,3.1142,0,0,0,3.1692803,1,0.904203173
25.7603,19.5194,29.1813,0.3187,0,2.4586,0.3223,1.3902,0.4589,0.038,0.8132,0.1661,0.5095,0,0,8.3609,0.0724,0.7334,0.1873,0.2938,0,0.8328,0,0,0.0835,0,0,2.5605,0.2118,0,0,0,0,1.9631,0,0,0,0.4836785,2,0.756833437
41.758,10.2331,10.5837,0.5358,0.3975,3.5943,0.6861,0.9477,3.3392,0.4413,1.9157,1.3176,0.6851,4.6755,0,10.0489,0.4414,0,0.0741,0.8469,0.8445,0.9912,0,0,0.6704,0,0,0,0,0,0,0,0,0,0,0,0,1.33,1,0.85174842
47.8736,10.3874,9.515,0.448,0.3715,3.1584,0.5412,0.7875,2.1698,0.4012,1.706,1.0987,0.5397,4.5749,0,8.6745,0.5303,0,0.0889,0.7595,0.6603,0.953,0,0,0.4945,0,0,0,0,0,0,0,0,0,0,0,0,0.4201358,2,0.80992659
28.259,8.6384,11.4044,0.3351,0.2853,3.6744,1.4579,2.0357,0.2094,0.4136,1.1369,0.5653,0.6483,2.6259,0,10.3466,0.6559,0.2053,0.6221,0.2238,0.3254,0.8041,0,5.9799,0.6007,0,1.7425,3.4026,0,0.164,0,0,0.6713,4.1005,4.0296,1.1459,0,4.047988,1,0.911888083
27.4517,8.5692,10.3831,0.3341,0.2573,3.2763,1.4577,2.6225,1.5676,0.3533,1.4006,0.4734,0.5377,2.9379,0,6.6619,0.5014,0,0.6316,0.2302,0.4025,0.7001,0,7.6689,0.5432,0,1.9783,3.7818,0,0,0,0,1.2483,6.2012,4.2914,0,0,1.2711676,2,0.867426993
53.033,7.0071,6.7729,0.4771,0.3251,4.6529,1.0754,0.8547,1.8765,0.4351,1.1677,0.5812,0.8134,3.1365,0,9.2569,0.3787,0,0.7456,0.4256,0.0849,1.1417,0,0,0.3018,0,0.3083,0,0,0,0,0,0,0,0,0,0,2.399041,1,0.785907423
52.9212,7.046,8.7506,0.4227,0.399,4.4004,1.0084,1.3594,1.0774,0.4226,1.1824,0.6491,0.5838,3.188,0,8.4464,0.2658,0.2802,0.8957,0.4395,0.5811,1.0812,0,0,0.3031,0,0,0,0,0,0,0,0,0,0,0,0,1.0308994,2,0.5814049
41.9933,6.6007,6.8958,0.3463,0.1871,4.5464,1.1125,1.4785,1.5099,0.1813,1.4678,0.7796,0.5164,3.4266,0,7.8663,0.3724,0,0.1015,0.2991,0.7259,0.723,0,7.4424,0.5907,0,0.4506,0.6428,0,0,0,0,0.8843,4.2131,0,0,0,2.0631785,1,0.909477303
35.375,7.95,6.8425,0.2305,0.234,5.1012,0.7017,2.4796,1.3344,0.0585,0.978,0.3505,0.1258,2.1531,0,5.9871,0.2698,0.3547,0.0759,0.2625,0.8724,0.6072,0,11.7263,0.6277,0,1.478,1.7345,0,0,0,0,1.8169,4.7072,1.9743,0,0,0.3785978,2,0.565577343
35.6595,3.9696,4.7183,0.3734,0.4264,4.014,1.5672,1.669,2.5189,0.2731,1.0232,0.382,0.3762,2.4904,0.0528,8.4795,0.1239,0.2212,0.5932,0.3057,0.0411,0.8182,0,1.9883,0.2399,14.115,0.3209,5.2523,0,0,0,0,0.9103,3.5884,0,0,0,2.2551427,1,0.800404837
40.0252,3.7269,5.2074,0.3963,0.2501,3.8417,1.5114,3.0137,3.0263,0.2318,1.2364,0.8026,0.5801,2.053,0.1367,7.2077,0.4167,0.4255,1.1614,0.2886,0,0.9091,0,4.2311,0.0949,12.7229,0.1779,0.9805,0,0.0624,0,0,0.6352,0,0,0,0,0.2122338,2,0.442902953
25.1174,14.166,20.0265,0.151,0.3284,4.1391,0.1518,2.6469,0.1052,0,0.8734,0.3294,0.5431,1.664,0,8.0273,0,0.4967,0,0.2589,0.104,1.083,0,1.204,0.3185,0,0,2.7339,0,0,0,3.4107,0,3.0745,1.5058,0,4.2972,1.3381836,2,0.875131313
36.6711,6.3636,10.57,0.3891,0.1334,3.1415,0.3614,0.8652,1.2478,0.4574,1.2652,0.4648,0.6326,4.1341,0,8.8264,0.464,0,0.2371,0.1666,0.7231,0.9139,0,8.2529,1.1183,0,0.2408,5.1239,0,0.3275,0,0,0,3.1537,0,0,0,3.1639436,1,0.938690597
35.1652,6.2328,12.9242,0.3465,0.167,4.3594,0.2326,0.3725,0.8941,0.0836,1.1031,0.2559,0.4443,2.3633,0,7.8778,0.0918,0.2367,0.4108,0.2338,0.148,0.9767,0,0,0.6724,11.1274,0.1543,4.4117,0,0.1916,0,0,0,2.3389,2.7904,0,0,0.9136236,2,0.690004483
25.4239,3.2027,14.2621,0.2652,0.3224,3.9123,0.7933,3.3311,1.4264,0.1153,0.7372,0.6448,0.3766,1.1411,0,9.2466,0.0467,0.4117,0.5945,0.212,0.5272,0.9617,0,2.4193,0.1184,10.9354,1.0339,0.3719,0.0534,0,0,2.169,0.2083,3.639,1.3608,0,0,4.7507078,2,0.911702377
28.5514,2.2767,13.6427,0.424,0.3051,3.3419,1.0956,3.1227,1.5272,0.0951,0.7487,0.8639,0.5135,2.6318,0.4225,8.634,0,0.5,0.0596,0.1804,1.5376,0.817,0,0,0.0118,11.8576,0.1603,3.0755,0.1702,0,0,2.0322,0,3.9088,1.3724,0,0,3.1025591,1,0.899364713
32.5252,2.075,15.6142,0.2215,0.1354,3.5039,1.2404,3.8686,0.8704,0,1.1194,1.05,0.5959,2.2339,0,6.4771,0,0.5649,0.0604,0.1531,1.3484,0.7193,0,0,0,11.126,0,1.0941,0.0775,0,0,2.1564,0,4.8832,0,0,0,0.4235042,2,0.73016359
51.2314,8.5228,3.1262,0.6007,0.4771,3.774,1.9764,0.3668,2.1782,0.5832,1.6274,1.1676,0.6438,4.584,0,9.2279,0.4499,0,0.1969,0.7766,0.6324,0.967,0,0,0.4313,0,0,0,0,0,0,0,1.2446,0,0,0,0,1.8877576,1,0.72580799
48.5772,9.1837,3.1708,0.5579,0.607,3.9397,1.9419,0.3495,3.2546,0.6652,1.8237,1.3415,0.5261,4.3108,0,8.9742,0.3138,0,0.1761,0.92,0.8705,1.1078,0,0,0.4417,0,0,0,0,0,0,0,1.1958,0,0,0,0,0.4998594,2,0.71979875
31.3729,3.1996,12.9734,0.5004,0.2917,2.3283,0.4165,3.8456,1.4792,0.5658,0.7748,0.7438,0.5502,2.4538,0.2334,10.2421,0.2639,0.6749,0.9697,0.3301,0.507,1.155,0,0,0,14.6935,0,5.3208,0,0,0,0,0,0,0,0,0,3.9254258,1,0.797867587
38.0373,4.7458,22.6966,0.286,0.1834,2.587,0.2456,1.0131,0.5111,0.3006,2.0538,1.4624,0.7981,2.2041,0.141,7.4677,0.1097,0.3243,0,0.2482,1.0103,1.4212,0,0,0.2208,0,0,0.6162,0,0,0,0,0,0,0,0,0,2.0463481,2,0.908737873
